epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,22611.7,0.73702,0.63874,1.1993,0.74315,0.67474,0.72193,0.56646,0.72107,0.63326,1.10718,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,22797.1,0.73176,0.64028,1.20055,0.77536,0.69098,0.72669,0.57005,0.72208,0.63619,1.10352,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,22984.2,0.7119,0.62058,1.18471,0.78337,0.67764,0.72311,0.56734,0.7182,0.63821,1.10039,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,23170.7,0.7109,0.617,1.18992,0.75376,0.69951,0.72216,0.56564,0.71754,0.64331,1.10135,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,23354.4,0.71271,0.61544,1.18509,0.73615,0.70332,0.72344,0.56771,0.71021,0.63363,1.09251,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,23540,0.71311,0.61273,1.18273,0.7436,0.71278,0.72681,0.56549,0.71561,0.64436,1.09527,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,23726.8,0.69935,0.5948,1.1764,0.7396,0.71868,0.72558,0.56449,0.7139,0.63894,1.0988,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,23913.7,0.71693,0.6222,1.18746,0.71685,0.72897,0.72931,0.56582,0.70939,0.62923,1.0976,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,24099.6,0.71061,0.6055,1.18357,0.78578,0.66649,0.73196,0.56492,0.71013,0.63879,1.09832,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,24284.6,0.71469,0.62132,1.1899,0.7585,0.71189,0.74173,0.57449,0.71336,0.63461,1.10309,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,24468.6,0.70708,0.6043,1.18498,0.76172,0.71724,0.74509,0.57987,0.71819,0.62771,1.1071,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,24655.6,0.70388,0.60135,1.17961,0.76275,0.71854,0.74729,0.57814,0.71967,0.63149,1.10714,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,24841.1,0.69541,0.58839,1.17722,0.77289,0.70373,0.74581,0.57987,0.71913,0.6368,1.10722,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,25027.1,0.696,0.59984,1.17676,0.74601,0.71456,0.74696,0.58093,0.72331,0.63812,1.111,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,25215.7,0.70348,0.59507,1.17797,0.77536,0.70664,0.74641,0.57904,0.72432,0.63574,1.11379,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
